#project_accession: PXD020187
#project_title: Proteomic evaluation of decellularized human umbilical artery
#project_description: Currently the use of tissue engineered small diameter vascular grafts (d< 6 mm) as substitutes in vascular reconstruction has gained significant attention by the cardiovascular surgeons. Cardiovascular disease (CVD) is among the leading causes of death, worldwide. It is estimated that more than 17 million people have been diagnosed with CVD. As vascular substitutes autologous vessels such as saphenous vein, radial and mammary arteries, are currently used. Although that these vessels are used in an autologous manner, avoiding thrombus formation and immune rejection, suitable grafts can be found in less than 40% of the patients. During the last years, synthetic polymer grafts derived either from Dacron or expanded tetrafluoroethylene (ePTFE) have been developed and applied in vascular bypass surgeries. These grafts also have received FDA approval for their use in CVD. As large diameter vascular grafts (d > 6 mm), the synthetic conduits have shown promising results. On the other hand, significant adverse reactions have been reported, when are used as small diameter vascular grafts (SDVGs, d< 6 mm). The most important adverse reaction is the low patency rate that is observed, within the first year of implantation (< 70%). The lack of the endothelium layer makes these grafts susceptible to platelets aggregation and thrombus formation. Also, mismatch compliance could result to intima hyperplasia, activation of Th1/ Th2 response, calcification and overall graft failure. Taking into consideration the above data, alternative sources of SDVGs must be established. In this way, the human umbilical arteries (hUAs) may represent significant candidates for SDVGs development. HUAs, are muscular arteries, responsible for transportation of non-oxygenated blood from the fetus to mother. Their inner diameter is approximately 2-4 mm, while their length can be varied and it is dependent to the length of the human umbilical cord (hUC) . The length of a typical hUC is 30- 60 cm. HUAs can be isolated non-invasively from the hUC, a material which is discarded after the gestation. These muscular arteries are characterized by three distinct layers, tunica intima, media and adventitia, where specific cellular populations such as endothelial cells (ECs) and vascular smooth muscle cells (VSMCs) are located. Decellularization approach, a tissue engineering method, can be applied in hUAs, in order acellular non-imunogenic SDVGs to be developed. Decellularization approach uses a combination of physical, chemical and enzymatic methods, to remove the cellular populations, while at the same time preserve the extracellular matrix (ECM) and tissue’s ultrastructure. Then, these vascular conduits can be repopulated with recipient’s ECs and VSMCs, in order to be fully compatible and functional. The aim of the current project is mainly focused to the proteomic identification and characterization of hUAs, before and after the application of the decellularization approach. The preservation of the ECM proteins like collagen, fibronectin, laminin in the decellularized hUAs, are of major importance for their key mechanical and functional properties. Until date, only a few studies have performed a broad proteomic approach in decellularized SDVGs such as the hUAs. Also, the proteomic data will be compared with the histological, biochemical and biomechanical analysis results. For this project, the hUAs were isolated from the delivered human umbilical cords to Hellenic Cord Blood Bank (HCBB) of Biomedical Research Foundation Academy of Athens (BRFAA). Human umbilical cords were obtained from end term gestations (38-40 weeks), either with normal or caesarian delivery. Each hUC was accompanied by signed informed consent by the mother before the gestation. The informed consent was in accordance with the Helsinki declaration and fulfilled the ethical standards of the Greek National Ethical Committee. After the isolation of hUAs, the decellularization approach was performed. Specifically, the hUAs were incubated in decellularization buffer 1 (DB1), consisted of 8 mM CHAPS, 1 M NaCl and 25 mM EDTA in PBS 1x, for 12 hours (h) at room temperature (RT). Briefly washes of hUAs for removal of the excess of DB1 with PBS 1x, was performed. Then, the hUAs were placed in DB2, consisted of 1.8 mM SDS, 1 M NaCl and 25 mM EDTA in PBS 1x for another 12 h at RT, followed by briefly washes with PBS 1x. Finally, the hUAs were incubated at 37o C for 12 h in α-Μinimum Essentials Medium (α-ΜΕΜ) with 40% v/v Fetal Bovine Serum (FBS), ensuring the complete removal of genetic material remnants. To evaluate the impact of the current decellularization protocol in hUAs, histological analysis, biochemically, biomechanically evaluation and full spectrum proteomic analysis were performed.
#quantms_version: 
#factor_value: cell type
#first_contrast: high grade ovarian serous adenocarcinoma
#second_contrast: normal
#fdr_threshold: 0.05
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=label,Number=1, Type=String, Description="Label for the Conditions combination">
#INFO=<ID=log2fc, Number=1, Type=Double, Description="Log2 Fold Change">
#INFO=<ID=se, Number=1, Type=Double, Description="Standard error of the log2 fold change">
#INFO=<ID=df, Number=1, Type=Integer, Description="Degree of freedom of the Student test"> 
#INFO=<ID=pvalue, Number=1, Type=Double, Description="Raw p-values">
#INFO=<ID=adj.pvalue, Number=1, Type=Double, Description="P-values adjusted among all the proteins in the specific comparison using the approach by Benjamini and Hochberg">
#INFO=<ID=issue, Number=1, Type=String, Description="Issue column shows if there is any issue for inference in corresponding protein and comparison">
protein	label	log2fc	se	df	pvalue	adj.pvalue	issue
1433B_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.30572877149841	0.265598327525701	37.0	0.257078021286499	0.433294706500686	
1433E_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.76391792556181	0.539290690702849	13.0	0.180136935319292	0.336571642307098	
1433Z_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.391710501168412	0.386357846853599	39.0	0.316901241226878	0.494393629144866	
4F2_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.0688309151929912	0.151623569136824	48.0	0.65190421122373	0.787084759275328	
6PGD_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.352443269350799	0.28346366183868	46.0	0.220040291484518	0.387693175193221	
A1AG1_HUMAN	high grade ovarian serous adenocarcinoma-normal	3.16562561500662	1.77260665689068	17.0	0.0919715162181465	0.199388630579798	
A1AG2_HUMAN	high grade ovarian serous adenocarcinoma-normal	2.20969990297765	0.629633460779791	35.0	0.0012553310668304	0.0067907432948539	
A1AT_HUMAN	high grade ovarian serous adenocarcinoma-normal	4.28553576443747	0.709316168983815	46.0	2.50677317126247e-07	5.69538864510832e-06	
A1BG_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.35568585655408	0.102398060898083	48.0	0.0010983759510578	0.0062387754020087	
A2AP_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.201526893070088	0.136223436896252	48.0	0.145570976256583	0.285118325909446	
A2GL_HUMAN	high grade ovarian serous adenocarcinoma-normal	1.63913719201981	0.245315722786079	48.0	2.26287475424414e-08	7.1406270022815e-07	
A2MG_HUMAN	high grade ovarian serous adenocarcinoma-normal	-1.31548921980544	0.233850757604268	48.0	9.31572067042197e-07	1.49858248656246e-05	
A4_HUMAN	high grade ovarian serous adenocarcinoma-normal	2.11679172096227	0.321065937605223	45.0	4.09952587432372e-08	1.22554247190309e-06	
AACT_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.305794363281644	0.0945263527906756	48.0	0.0022048052560335	0.0107622236952593	
AATC_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.0572951464875158	0.336514457461875	40.0	0.865663476429627	0.940146949544987	
ABHEB_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.184052609686053	0.487042548199181	17.0	0.710183014221417	0.830097268971507	
ACE_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.328886805848499	0.284602424638729	48.0	0.253564425378298	0.428715405711853	
ACLY_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.687290223935211	1.06800218095273	4.0	0.554919923124874	0.709897559312903	
ACPH_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.978175001917642	0.639359443993749	9.0	0.160389907932517	0.30765882568619	
ACTA_HUMAN;ACTH_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.294895329774546	0.141915972279711	47.0	0.0432004060123026	0.115201082699474	
ACTB_HUMAN;ACTG_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.390865139989868	0.194809882899966	48.0	0.0504662259181357	0.127967930006701	
ACTN1_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.648529272633433	0.432872695493077	20.0	0.149699777411552	0.290425477073287	
ACV1B_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.556176366087761	0.238874727374905	44.0	0.0245544728525786	0.0737933364035167	
ADA2_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.0215477144696973	0.210782181767357	47.0	0.919011090053459	0.945649092663704	
ADH1A_HUMAN;ADH1B_HUMAN	high grade ovarian serous adenocarcinoma-normal	1.49427175747086	0.466583674819487	29.0	0.0032966373775582	0.0148610319877229	
ADIPO_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.348924202686919	0.427338312630216	48.0	0.418244852196901	0.591862083079136	
AFAM_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.199496009791032	0.0809101475339339	48.0	0.0173026456664611	0.0555248742290956	
AGRF5_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.024700695367817	0.195603228835328	48.0	0.900038092613057	0.94516005861106	
AGRG6_HUMAN	high grade ovarian serous adenocarcinoma-normal	0.0565127240013755	0.227815080142424	41.0	0.805323118456307	0.900440022210989	
AL1A1_HUMAN	high grade ovarian serous adenocarcinoma-normal	-0.0668918957467408	0.556943583788935	24.0	0.905399505303095	0.94516005861106	
